,date,open,close,high,low,volume,code,m5,m10,m30
93,2013/11/8,8.24,7.847,8.287,7.808,6877218,600000,8.0042,8.1543,7.343533333
94,2013/11/15,7.855,7.611,8.012,7.383,7578042,600000,7.8674,8.1629,7.345433333
95,2013/11/22,7.666,7.91,8.004,7.595,7892366,600000,7.8958,8.0175,7.363766667
96,2013/11/29,7.855,7.855,7.957,7.674,5383126,600000,7.8832,7.9381,7.377033333
97,2013/12/6,7.941,8.036,8.311,7.855,11795090,600000,7.8518,7.9366,7.395833333
98,2013/12/13,8.028,7.729,8.059,7.682,5159531,600000,7.8282,7.9162,7.399166667
99,2013/12/20,7.745,7.359,7.839,7.344,4317173,600000,7.7778,7.8226,7.391166667
100,2013/12/27,7.399,7.265,7.454,7.124,3943918,600000,7.6488,7.7723,7.373333333
101,2014/1/3,7.312,7.186,7.493,7.139,3358186,600000,7.515,7.6991,7.3678
102,2014/1/10,7.32,7.399,7.43,7.084,4713786,600000,7.3876,7.6197,7.378033333
103,2014/1/17,7.422,7.171,7.446,7.131,3565042,600000,7.276,7.5521,7.400066667
104,2014/1/24,7.155,7.257,7.375,7.108,3148905,600000,7.2556,7.5167,7.424966667
105,2014/1/30,7.226,7.21,7.32,7.155,2507439,600000,7.2446,7.4467,7.452733333
106,2014/2/7,7.179,7.218,7.218,7.131,511369,600000,7.251,7.383,7.470833333
107,2014/2/14,7.218,7.54,7.737,7.202,6886831,600000,7.2792,7.3334,7.5117
108,2014/2/21,7.564,7.304,7.65,7.234,6175379,600000,7.3058,7.2909,7.546266667
109,2014/2/28,7.234,7.006,7.241,6.896,5160520,600000,7.2556,7.2556,7.570666667
110,2014/3/7,7.006,6.864,7.013,6.778,4528581,600000,7.1864,7.2155,7.589533333
111,2014/3/14,6.817,7.069,7.179,6.597,6598090,600000,7.1566,7.2038,7.607366667
112,2014/3/21,7.249,7.776,7.776,6.888,10055923,600000,7.2038,7.2415,7.6459
113,2014/3/28,7.776,7.603,7.871,7.454,15107102,600000,7.2636,7.2847,7.6637
114,2014/4/4,7.627,7.65,7.894,7.525,7668863,600000,7.3924,7.324,7.667866667
115,2014/4/11,7.635,8.059,8.185,7.635,9966755,600000,7.6314,7.4089,7.624366667
116,2014/4/18,8.059,7.69,8.091,7.572,6737709,600000,7.7556,7.4561,7.5924
117,2014/4/25,7.658,7.737,7.91,7.595,6680081,600000,7.7478,7.4758,7.581933333
118,2014/4/30,7.721,7.682,7.878,7.587,3544273,600000,7.7636,7.5136,7.573566667
119,2014/5/9,7.682,7.674,7.76,7.532,3883344,600000,7.7684,7.5804,7.552866667
120,2014/5/16,7.745,7.666,7.831,7.627,4376962,600000,7.6898,7.6606,7.549466667
121,2014/5/23,7.642,7.627,7.65,7.399,3745075,600000,7.6772,7.7164,7.539766667
122,2014/5/30,7.674,7.525,7.69,7.509,3653786,600000,7.6348,7.6913,7.5175
123,2014/6/6,7.54,7.477,7.58,7.391,2668139,600000,7.5938,7.6787,7.505166667
